CompteurTemps	Temps	Cx0	Cy0	
1	0	-1.40465	0.0505726	
2	0.05	-0.208708	0.00887803	
3	0.1	-0.12758	-0.227934	
4	0.15	-0.0933804	-0.245604	
5	0.2	-0.0724067	-0.03151	
6	0.25	-0.0691722	-0.00638478	
7	0.3	-0.0671063	-0.00542287	
8	0.35	-0.0653997	-0.0047135	
9	0.4	-0.063413	-0.00554005	
10	0.45	-0.0637346	-0.00467971	
11	0.5	-0.062595	-0.00493579	
12	0.55	-0.0623522	-0.00520352	
13	0.6	-0.0613342	-0.00670775	
14	0.65	-0.0617278	-0.00742955	
15	0.7	-0.060422	-0.00915453	
16	0.75	-0.0606439	-0.0105975	
17	0.8	-0.0598842	-0.0141481	
18	0.85	-0.0594822	-0.0166745	
19	0.9	-0.0591204	-0.0191431	
20	0.95	-0.0591166	-0.0203893	
21	1	-0.058916	-0.0227072	
22	1.05	-0.0583245	-0.0248658	
23	1.1	-0.0585268	-0.0258238	
24	1.15	-0.0583731	-0.0266094	
25	1.2	-0.0583588	-0.0280043	
26	1.25	-0.0580111	-0.0282682	
27	1.3	-0.0577212	-0.0286864	
28	1.35	-0.0576973	-0.0287867	
29	1.4	-0.0575186	-0.0284534	
30	1.45	-0.0572452	-0.0269129	
31	1.5	-0.0575488	-0.0267705	
32	1.55	-0.0577029	-0.0264964	
33	1.6	-0.0576586	-0.0257472	
34	1.65	-0.0573801	-0.025296	
35	1.7	-0.057484	-0.0245465	
36	1.75	-0.0571107	-0.0241856	
37	1.8	-0.0568099	-0.0232965	
38	1.85	-0.0569563	-0.0231977	
39	1.9	-0.0564562	-0.0226863	
40	1.95	-0.057034	-0.0226425	
41	2	-0.0568923	-0.0225606	
42	2.05	-0.0569809	-0.021472	
43	2.1	-0.0573472	-0.0218752	
44	2.15	-0.0571776	-0.0217511	
45	2.2	-0.0563858	-0.0219292	
46	2.25	-0.0569609	-0.0221437	
47	2.3	-0.056958	-0.0218458	
48	2.35	-0.0572684	-0.0222734	
49	2.4	-0.0570926	-0.022107	
50	2.45	-0.0571319	-0.0221682	
51	2.5	-0.0574964	-0.0219235	
52	2.55	-0.0572597	-0.0220679	
53	2.6	-0.0570344	-0.0222674	
54	2.65	-0.0569895	-0.0218174	
55	2.7	-0.0570935	-0.0219422	
56	2.75	-0.0572259	-0.0220981	
57	2.8	-0.0571056	-0.021967	
58	2.85	-0.0570758	-0.0220386	
59	2.9	-0.0573232	-0.022098	
60	2.95	-0.0574449	-0.0221128	
61	3	-0.0573307	-0.0220257	
62	3.05	-0.0572419	-0.0220243	
63	3.1	-0.057287	-0.0219469	
64	3.15	-0.057325	-0.0218901	
65	3.2	-0.0571509	-0.0221169	
66	3.25	-0.0571518	-0.0219276	
67	3.3	-0.0573317	-0.0218652	
68	3.35	-0.057045	-0.0219587	
69	3.4	-0.0573902	-0.0219472	
70	3.45	-0.0570889	-0.0217468	
71	3.5	-0.0571362	-0.0220104	
72	3.55	-0.0571131	-0.0219615	
73	3.6	-0.0571063	-0.0217528	
74	3.65	-0.0569977	-0.0217009	
75	3.7	-0.0570371	-0.0217273	
76	3.75	-0.0566363	-0.0217935	
77	3.8	-0.0570415	-0.0216446	
78	3.85	-0.0568782	-0.0216096	
79	3.9	-0.0564445	-0.0217397	
80	3.95	-0.0568067	-0.0216022	
81	4	-0.0564208	-0.0216058	
82	4.05	-0.0568832	-0.0216746	
83	4.1	-0.056963	-0.0216571	
